Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	Gene Symbol	
650641732	Clo1313_2501		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641733	Clo1313_2505		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641734	Clo1313_2512		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641735	Clo1313_2517		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641736	Clo1313_2527		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641737	Clo1313_2566		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641738	Clo1313_2571		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641739	Clo1313_2573		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641740	Clo1313_2598		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641741	Clo1313_2636		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641742	Clo1313_2652		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641743	Clo1313_2656		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641744	Clo1313_2662		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641745	Clo1313_2668		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641746	Clo1313_2673		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641747	Clo1313_2674		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641748	Clo1313_2676		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641749	Clo1313_2679		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641750	Clo1313_2681		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641751	Clo1313_2685		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641752	Clo1313_2690		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641753	Clo1313_2692		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641754	Clo1313_2697		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641755	Clo1313_2699		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641756	Clo1313_2701		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641757	Clo1313_2787		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641758	Clo1313_2792		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641759	Clo1313_2799		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641760	Clo1313_2803		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641761	Clo1313_2948		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
650641762	Clo1313_2960		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	5		
