Gene ID	Locus Tag	Gene Product Name	Genome ID	Genome Name	Batch1	
650641686	Clo1313_1779		650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650471643	Clo1313_2854	1,4-alpha-glucan branching enzyme	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650471429	Clo1313_2627	1-phosphofructokinase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650469697	Clo1313_0857	2-isopropylmalate synthase (EC 2.3.3.13)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650468947	Clo1313_0102	2-isopropylmalate synthase/homocitrate synthase family protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470201	Clo1313_1356	2-oxoglutarate ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.3)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650471673	Clo1313_2884	3-isopropylmalate dehydratase, large subunit	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650471672	Clo1313_2883	3-isopropylmalate dehydratase, small subunit	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650471671	Clo1313_2882	3-isopropylmalate dehydrogenase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470198	Clo1313_1353	4Fe-4S ferredoxin iron-sulfur binding domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650469838	Clo1313_0997	6-phosphofructokinase (EC 2.7.1.11)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470642	Clo1313_1798	acetaldehyde dehydrogenase (EC 1.2.1.10)/alcohol dehydrogenase AdhE (EC 1.1.1.1)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470028	Clo1313_1186	acetate kinase (EC 2.7.2.1)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650468944	Clo1313_0099	acetolactate synthase, large subunit (EC 2.2.1.6)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650469150	Clo1313_0305	acetolactate synthase, large subunit (EC 2.2.1.6)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650468945	Clo1313_0100	acetolactate synthase, small subunit (EC 2.2.1.6)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650469558	Clo1313_0709	aconitase (EC 4.2.1.3)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650469070	Clo1313_0228	acylneuraminate cytidylyltransferase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470677	Clo1313_1833	Alcohol dehydrogenase GroES domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650468920	Clo1313_0076	Alcohol dehydrogenase GroES domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650471700	Clo1313_2911	Aldehyde Dehydrogenase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650468977	Clo1313_0133	alpha-L-arabinofuranosidase domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650469834	Clo1313_0993	alpha-phosphoglucomutase (EC 5.4.2.2)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470529	Clo1313_1686	AMP-dependent synthetase and ligase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470856	Clo1313_2020	broad-specificity cellobiase (EC 3.2.1.21)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650469828	Clo1313_0987	Carbohydrate binding family 6	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650468991	Clo1313_0147	CDP-glucose 4,6-dehydratase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470792	Clo1313_1954	cellobiose phosphorylase (EC 2.4.1.20)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470467	Clo1313_1621	Cellulase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470653	Clo1313_1809	cellulose 1,4-beta-cellobiosidase (EC 3.2.1.91)	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650469418	Clo1313_0578	Citrate synthase	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470749	Clo1313_1907	class II aldolase/adducin family protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470243	Clo1313_1398	coagulation factor 5/8 type domain protein	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
650470367	Clo1313_1523	Conserved carboxylase region	650377924	Ruminiclostridium thermocellum LQ8, DSM 1313	1	
