MetaCyc Pathway ID	MetaCyc Pathway	Gene Count	
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis	7	
2ASDEG-PWY	orthanilate degradation	1	
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine	1	
ALADEG-PWY	L-alanine degradation I	1	
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I	2	
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	9	
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	1	
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	2	
ARGININE-SYN4-PWY	L-ornithine biosynthesis II	2	
ARGSPECAT-PWY	spermine biosynthesis	1	
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	7	
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	11	
ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	1	
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)	2	
ASPARAGINESYN-PWY	L-asparagine biosynthesis II	1	
ASPARTATE-DEG1-PWY	L-aspartate degradation I	2	
ASPARTATESYN-PWY	L-aspartate biosynthesis	2	
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	2	
CALVIN-PWY	Calvin-Benson-Bassham cycle	9	
CENTFERM-PWY	pyruvate fermentation to butanoate	9	
CHLOROPHYLL-SYN	chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)	1	
CITRULBIO-PWY	L-citrulline biosynthesis	3	
CITRULLINE-DEG-PWY	L-citrulline degradation	1	
CO2FORM-PWY	methanogenesis from methanol	1	
COA-PWY	coenzyme A biosynthesis I	3	
COA-PWY-1	coenzyme A biosynthesis II (mammalian)	4	
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	5	
CODH-PWY	reductive acetyl coenzyme A pathway	4	
COLANSYN-PWY	colanic acid building blocks biosynthesis	1	
CYSTSYN-PWY	L-cysteine biosynthesis I	3	
DAPLYSINESYN-PWY	L-lysine biosynthesis I	8	
DETOX1-PWY	superoxide radicals degradation	1	
DETOX1-PWY-1	reactive oxygen species degradation	1	
DISSULFRED-PWY	sulfate reduction IV (dissimilatory)	2	
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	4	
ECASYN-PWY	enterobacterial common antigen biosynthesis	2	
ETHYL-PWY	ethylene biosynthesis I (plants)	1	
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	1	
FAO-PWY	fatty acid &beta;-oxidation I	3	
FASYN-ELONG-PWY	fatty acid elongation -- saturated	1	
FERMENTATION-PWY	mixed acid fermentation	7	
FUCCAT-PWY	fucose degradation	1	
GALACTITOLCAT-PWY	galactitol degradation	1	
GLNSYN-PWY	L-glutamine biosynthesis I	4	
GLUAMCAT-PWY	<i>N</i>-acetylglucosamine degradation I	1	
GLUCONEO-PWY	gluconeogenesis I	11	
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	1	
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	9	
GLUGLNSYN-PWY	L-glutamate biosynthesis IV	1	
GLUTAMINEFUM-PWY	L-glutamine degradation II	1	
GLUTDEG-PWY	L-glutamate degradation II	2	
GLUTORN-PWY	L-ornithine biosynthesis I	4	
GLUTSYN-PWY	L-glutamate biosynthesis I	1	
GLUTSYNIII-PWY	L-glutamate biosynthesis III	1	
GLYCOCAT-PWY	glycogen degradation I	2	
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	6	
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	14	
