geneID	geneLength	geneProduct	BUBUP	BUBUG	BUBUN	BUBUO	BUBUC	BUBUH
650468844	1332	chromosomal replication initiator protein DnaA	12.22	95.68	13.38	14.04	68.16	33.52
650468845	1101	DNA polymerase III, beta subunit (EC 2.7.7.7)	7.39	91.89	13.24	7.93	65.97	34.76
650468846	207	S4 domain protein YaaA	6.55	31.74	7.83	12.05	23.39	12.33
650468847	1110	DNA replication and repair protein RecF	1.22	21.31	0	1.12	13.09	9.2
650468848	315	hypothetical protein	103.35	221.06	82.3	130.65	242.11	267.31
650468849	1926	DNA gyrase, B subunit	397.22	504.81	354.17	384.61	540.53	503.43
650468850	777	chromosome segregation ATPase	94.27	131.89	75.07	96.3	193.19	180.62
650468851	870	parB-like partition protein	233.88	173.67	176.93	230.78	207.32	209.7
650468852	510	hypothetical protein	55.85	110.78	50.83	97.81	168.52	97.56
650468853	741	TPR repeat-containing protein	129.97	168.44	122.45	144.73	225.44	306.47
650468854	1272	seryl-tRNA synthetase (EC 6.1.1.11)	215.42	227.24	212.73	215.69	281.7	296.89
650468857	1401	major facilitator superfamily MFS_1	15.49	14.07	32.38	24.03	19.01	21.86
650468858	915	copper amine oxidase-like domain-containing protein	1011.06	287.18	711.86	855.91	465.69	520.08
650468859	570	S-layer domain-containing protein	111.85	147.52	68.22	142.21	167.78	163.39
650468860	534	hypothetical protein	0	0	3.03	0	0	0
650468861	1710	VanW family protein	189.59	124.47	197.09	266.92	172.73	209.65
650468862	1272	gamma-D-glutamyl-{L}-meso-diaminopimelate peptidase I (EC:3.4.19.11). Metallo peptidase. MEROPS family M14C	0	2.07	1.27	1.96	0	3.01
650468863	324	hypothetical protein	0	0	0	0	3.74	11.81
650468864	279	pro-sigmaK processing inhibitor BofA	19.45	9.42	5.81	0	4.34	0
650468865	579	pyruvate/ketoisovalerate oxidoreductase, gamma subunit	220.22	492.42	111.94	211.08	790.29	769.01
650468866	306	pyruvate ferredoxin/flavodoxin oxidoreductase, delta subunit	195.05	257.62	37.07	101.88	447.03	404.42
650468867	1185	pyruvate flavodoxin/ferredoxin oxidoreductase domain protein	283.89	342.6	209.2	269.41	509.75	458.64
650468868	936	thiamine pyrophosphate TPP-binding domain-containing protein	904.32	652.72	631.84	723.46	1129.05	1198.11
650468869	123	putative lipoprotein	0	10.68	0	0	9.84	0
650468870	840	hypothetical protein	0	0	0	0	2.88	1.52
650468871	720	helix-turn-helix domain protein	0	0	0	0	0	0
650468872	264	hypothetical protein	0	19.91	12.27	9.45	13.76	4.83
650468873	1221	glycosyl transferase family 39	1.11	1.08	0	0	0	1.04
650468874	990	spore coat protein, CotS family	4.11	6.64	0	1.26	2.45	1.29
650468875	1671	Formate-tetrahydrofolate ligase (EC 6.3.4.3)	244.34	132.09	206.54	252.25	199.94	203.85
650468876	876	sporulation peptidase YabG	0	1.5	0	0	0	1.46
650468877	267	protein of unknown function DUF1021	13148.17	5885.33	11293.44	13269.38	7367.45	9886.3
650468878	1569	Peptidoglycan-binding lysin domain	4.32	4.19	3.1	5.56	2.31	8.13
650468879	837	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	145.86	37.67	83.24	131.11	195.25	213.4
650468880	693	transcriptional regulator, GntR family	1027.63	800.07	1243.85	950.15	1096.99	1207.69
650468881	207	Heavy metal transport/detoxification protein	13.11	0	0	6.02	11.7	12.33
650468882	513	hypothetical protein	71.39	38.42	37.9	48.62	153.38	213.88
650468883	1623	AAA ATPase central domain protein	82.74	70.43	63.89	104.5	135.75	174.51
650468884	729	phage shock protein A (PspA) family protein	282.83	371.27	193.37	347.26	453.33	519.77
650468885	807	hypothetical protein	15.13	34.19	14.05	9.27	34.5	25.29
650468886	1593	protein of unknown function DUF342	20.44	147.63	34.58	39.93	192.26	246.67
650468887	1146	metallophosphoesterase	55.63	146.75	46.66	54.41	127.81	112.44
650468888	2652	SMC domain protein	11.76	23.78	4.89	11.76	14.61	6.25
650468889	1023	NLP/P60 protein	15.91	11.56	7.92	12.19	7.1	4.99
650468890	702	spore cortex-lytic enzyme	0	0	0	0	0	0
650468891	1395	germination protein YpeB	0.97	0.94	1.16	0	2.6	1.83
650468892	1089	Abortive infection protein	180.61	161.67	150.27	210.71	187.86	203.85
650468893	1044	AAA ATPase	63.67	156.05	90.02	88.39	158.85	134.42
650468894	927	primosome, DnaD subunit	114.14	175.75	96.13	108.97	263.78	257.36
650468896	1782	metal dependent phosphohydrolase	18.27	208.66	20.91	13.3	173.22	121.71
650468897	249	hypothetical protein	65.37	432.68	45.55	45.07	228.49	174.21
650468898	1074	hypothetical protein	272.81	458.75	156.9	276.35	429.43	393.2
650468899	3006	type 3a cellulose-binding domain protein	184.11	343.11	200.51	195.81	271.02	239.8
650468900	831	copper amine oxidase-like domain-containing protein	739.45	698.83	861.81	831.38	601.62	575.72
650468901	840	MotA/TolQ/ExbB proton channel	19.38	642.86	34.72	17.82	1070.74	1341.12
